steming_data,Score,Sentiment
semangat ya mahasiswa aspirasi moga aspirasi capai dengar petinggi negara harap demo ubah krisis negara fase kritis moga kondisi negara moga lekas sembuh negara ku,3,Positif
moga allah swt lindung mahasiswa mahasiswi ajar rakyat indonesia mana juang aspirasi tegak adil benar amin allahumma aaamiin,3,Positif
kak saran bikin video bahasa inggris buzzer gangerti inggris,-3,Negatif
semangat maju menang moga tuhan lindung,3,Positif
sedih banget baca komen,0,Netral
nafas komentar,0,Netral
efisiensi lantik mewah,1,Positif
hidup lebih baik saturnus,1,Positif
heh,0,Netral
sehat,0,Netral
pikir,0,Netral
lo enak kayak raya,-1,Negatif
salah contoh gambar sifat perintah,-1,Negatif
sumber gelap sih luhut,-1,Negatif
loh indonesia gelap malam,-2,Negatif
kocak tantang,-2,Negatif
enak omong orang kayak mah heh pindah oh opung,-2,Negatif
sumpah aura orang kayak anying naruto ya lupa,0,Netral
tau indonesia gelap lantas engkau salah baik,-4,Negatif
lho jabat enak ya bos jabat terang ya gelap,0,Netral
pikir orang tua banget,0,Netral
kswan mulyono,0,Netral
luhut bercuan bisnis kuasa bijak,2,Positif
ternak diam ya,1,Positif
betuul opung omong orang orang pasilitas negara,-1,Negatif
pensiun per amongannya podcast,-1,Negatif
bayang akherat,1,Positif
pindah bye,-1,Negatif
luhut hama,-1,Negatif
ini kantor,0,Netral
indonesia milik ngontrak,1,Positif
maaf gelap matahari korupsi,-1,Negatif
kayak lebaran nih,-1,Negatif
ya gelap maaf,0,Netral
sehat opung,0,Netral
dia -benar bawa setrika panas nyala tuhan tuhan tidur,1,Positif
mending cepat tobat,-1,Negatif
ulang,0,Netral
saya selesai negara,-1,Negatif
gotham city si real,1,Positif
saya main game,0,Netral
negara jatuh,0,Netral
pusing muak capek erti,-2,Negatif
pindah negara,0,Netral
seru banget tinggal indonesia,1,Positif
makan siang selesai,0,Netral
indonesia ubah,0,Netral
mengapa rasa tutup pagar laut ya,-1,Negatif
oke gas oke gas gas gas,-2,Negatif
bingung negara plis,0,Netral
harto enak zaman,0,Netral
indonesia gotham city anjir,0,Netral
ya allah pindah negara,2,Positif
heran demo anjir,-1,Negatif
tebak event,0,Netral
pagar laut alih isu t gas langka alih pagar laut,-3,Negatif
lahir jalan gila sangka burung gagah garuda milik parasit mati dalam tubuh hidup sehat negara sakit,1,Positif
kabar pagar laut,0,Netral
pliss tutup ungkit sampai selasa,-1,Negatif
indonesia emas ya tunda,1,Positif
gas lpg kg atur biar kena markup ya agen resmi dikit banyak agen resmi atur,-2,Negatif
negara sih,0,Netral
maaf tinggal antri gas ya drop habis beli gas beli gas ya antri cmiiw,-2,Negatif
rumah gusur,0,Netral
iya ih pusing banget agen angkot bulak hrg nya mahal,-1,Negatif
minggu event ya indonesia,1,Positif
ganti rakyat,0,Netral
video anda hibur informatif,-1,Negatif
terima kasih objektif,2,Positif
artistbersuara henti normal ai,0,Netral
album newjeans,0,Netral
musim,0,Netral
ingat darurat red velvet,0,Netral
semangat edukasi warga tiktok abang,0,Netral
indonesia indah bijak perintah,0,Netral
indonesian emas indonesia gelap,-1,Negatif
chaos banget indonesia,1,Positif
ya tuhan senang indonesia,2,Positif
biru blueberry merah stoberi item gosong,-1,Negatif
betah tinggal indonesia,0,Netral
garuda sarang tikus,0,Netral
buka twitter kayak bubar nih negara,-1,Negatif
atur indonesia viral ubah,0,Netral
gelap banget asli kaum tengah dpet bantu serba adik kuliah ukt muahal banget phk om gue kena istri hamil anak pertama,-1,Negatif
adiliono,0,Netral
ikut warna album newjeans tunggu demo pakai warna warni,-2,Negatif
pragib loh,0,Netral
orang ajar tunduk kuasa tau sdm ya rendah,0,Netral
jam postingan penuh komentar buzzer,-1,Negatif
pindah ah,0,Netral
banget kuat saudara kandang,1,Positif
fyp ya samsek tiktok tl kali penuh,1,Positif
mending anies,0,Netral
korea rakyat turun presiden turun jabat turun,0,Netral
oh iya bang hubung ingat darurat nih danantara heboh twitter bahas ya erti danantara luncur hubung bank apbn efesien anggar dll,3,Positif
besok bahas danantara bahasa mudah erti,0,Netral
indonesia dark system,0,Netral
ya tuhan bikin bijak dasar riset minimum leassst perintah gagal sok juang harap mudah -mudahan sih,1,Positif
tbh demo kemarin -benar peduli teman bung anda baca itu video anda selamat,-3,Negatif
terima kasih baca orang indonesia paham,1,Positif
terima kasih memposting ini jujur harap buka pikir bel didik didik itu pintar haha,0,Netral
harap teman -teman,0,Netral
betapa sedih milik perintah,1,Positif
uppp,0,Netral
terima kasih didik kak harga itu,1,Positif
sistem pakai tapi ketidakpercayaan publik rusak,-1,Negatif
up up,0,Netral
ringkas soooooo goodddd terima kasih ll save bagi itt,0,Netral
keep up,0,Netral
terima kasih,1,Positif
suka lagu anda pilih,-1,Negatif
sadar orang komentar mahasiswa demo apasih,-2,Negatif
makan gratis doesn t giving the stunting solutions gizi sehat sempurna susu sukrosa distribusi rata jalan sila,1,Positif
terimakasih mahasiswa,1,Positif
b e l o t a h lu n,0,Netral
semangat mahasiswa lawan perintah rakyat juang hak hak rakyat tindas panjangumurperlawanan,-1,Negatif
yaampun isine buzzer,-1,Negatif
wkwk suka rela buzzer kak,-1,Negatif
kontrol orang -orang kendali orang bicara,0,Netral
danantara kakak bahas,1,Positif
honestly dukung lets just hold hands together try taking initiative communicate hardik,0,Netral
kasih lapang kerja luas phk mana gaakan butuh makan gratis beli sesuai butuh,1,Positif
buzzer vt jalan,-1,Negatif
prabowo tunjuk payah urus bangsa kurleb kerja,1,Positif
umur benar,0,Netral
nih baca ya rekan rekan,1,Positif
keep ur chin up juang muda,-1,Negatif
ya bikin bijak dasar riset timbang matang contoh tari gas lpg edar tuju awas distribusi lpg kg timbun jual harga lambung perhati kaji ulang kait siap terap bijak akses pangkal pangkal mudah akses pangkal sebar rata tari gas lpg sebab untung timbul rugi tari timbul macet putar ekonomi harga subsidi tawar untung rugi masyarakat cost transportasi beban timbang matang implementasi hasil,7,Positif
roh,1,Positif
contoh kader pdi tangkap,-1,Negatif
demo ya efesiensi,0,Netral
yakan nyuruh demo sarang korupsi lawak merekabbang,-3,Negatif
gocek,0,Netral
rajalela tahu bro era velum kali,0,Netral
pas sik anu sih merah,0,Netral
kerja nya mata nya melek tau bangsa,-1,Negatif
memang bangsa,0,Netral
bangsa ya jelasin sih tau bangsa,0,Netral
paham cuy cuy,0,Netral
bk mata bk telinga lihat demo habis,-1,Negatif
demo pesan sih alumni an cuman ketawa lihat beda era,0,Netral
gua muter muter cari gas lpg kadang marah marah paksa beli gas pink mahal banget sekolah gua mbak teman gua phk,-6,Negatif
beli pertamax kasih pertalite,0,Netral
sembah bilang indonesia bubar lupa kah,-1,Negatif
ah cari benar lihat tuh angkut kpk fakta,0,Netral
laku presiden anis genjer bukti ulat makan anggar kubu,1,Positif
lu alumni mungkin orang kendara ya,0,Netral
ngelesnya pintar banget nih budak,2,Positif
fakta lo anis tunggang kaum radikal genjer stir emak bukti kpk tari lantun kidung adil,-3,Negatif
bicara fakta skdr sanggah fakta hukum beda,-3,Negatif
itu gerombol harness,-2,Negatif
situ kayak,-1,Negatif
bahas indonesia gelap kayak miskin ya lol,-1,Negatif
b l,0,Netral
wajar tidur malam melek bahaya entar matax bu,-2,Negatif
demo kampus pimpin ikut kampus kota gue demo indonesia gelap,-5,Negatif
oiya lanjut nelayan cari laut rakyat,-1,Negatif
alah akun privat bodong tobat kau buzzer,-3,Negatif
pagar laut mafia ya kader kain merah paham,0,Netral
pagar laut coba pdip gih sono,0,Netral
pdip noh salah lapak,-1,Negatif
ya bongkar,0,Netral
tanya ibu,0,Netral
mandi dek,0,Netral
fiuh,0,Netral
siapa bilang demo siswa buka buka mata kerja turun,0,Netral
kak turun,0,Netral
hadeh sdmrendah,-1,Negatif
sdm gelap,-1,Negatif
spa gelap spa slma cerah indonesia gelap komentar terima bpa anda pergi sekolah tengah anda bijak ternak,-1,Negatif
pagar laut pemkot anjing perintah pusat pintar,0,Netral
turut belakang banteng psi penting,-2,Negatif
ngabisin energi bikin ricuh,1,Positif
berita goreng lepas bro tinggal berita ya,-2,Negatif
rakyat negara bersih melek investasi tinggal tunggu instan,0,Netral
ngomel tiktok sarang dukung prabowo,0,Netral
orang bijak oke situ bantu ayom cerdas emosional,1,Positif
kayak asa suara kritik masyarakat angin asih masuk diremehka keburu gedek who knows sifat tanggap samsak suka bpk,-3,Negatif
terima terima beliau kepala negara suka pindah negara simpel sakit hati,2,Positif
mak lo negara,0,Netral
maq ku negara ku,0,Netral
cinta coyer kakek juang mati cucu orang -orang,1,Positif
betuull,0,Netral
kakek lu,1,Positif
harness anis janji palsu,0,Netral
mukamo kayak omon omon,-3,Negatif
omon an korupsi tangkap gelap mata bro,-5,Negatif
sakit hati buk urus rumah tangga,0,Netral
presiden kau percaya anis,2,Positif
pakai gas melon pakai pertalite disc token listrik anak lo sekolah bayar,-1,Negatif
diskon listrik percaya,2,Positif
mau anis ganjar megawati,0,Netral
mending urus keluarga pakk,0,Netral
bang presiden bidang urus pelan kurangny wajar kritik pas beda hina n maki wajib tangkap,-4,Negatif
bang kerja bidang kurangny urus anak n istri kurangny urus juta rakyat indonesia,1,Positif
omon bukit,-1,Negatif
kasihan banget suka hina merendahka atasanya coba lihat negara hina mnghujat at sanya shrsya mbdukung mndoakanya negara pimpin cela anggap ayah juang bahagia orang tua yakut anakya negara ya rakyatya mbderita mnghujatya miris banget,-1,Negatif
harness anda repot,-2,Negatif
saudara malang menang sudut lukis lukis,1,Positif
pahlawan abang lihat akun tt ya,1,Positif
wkwk biar nyata pahit sadar,-1,Negatif
takut sembuh bahaya abang,0,Netral
hidup anda milik komentar rendah,-1,Negatif
maksud komentar kaya,0,Netral
omon sono nohh,-1,Negatif
prabowo omon omon wujud cita cita karno harto,-1,Negatif
harness peluk gambar,-1,Negatif
propokator,0,Netral
kacung,0,Netral
orang pintar bisa cuman usil,-1,Negatif
prabowo demo kerja prabowo,0,Netral
terima diskon pln mending diam,2,Positif
anda contoh ya,0,Netral
puas bro obrol lukis,2,Positif
kerja nyata beliau nyata lihat medsos,2,Positif
kami lapang kepala negara daerah tugas dukung kritis koridor,0,Netral
bangun oii bangun,0,Netral
ah jam iya baruunuun buaruun,0,Netral
bangun kerja banyak ngehayal indonesia,1,Positif
maraaaaaaah,0,Netral
omong intelek sdm rendah,-2,Negatif
kota indonesia mesti beda daerah,-3,Negatif
daerah gas lpg langka bokap menang marah paksa pakai gas pink mahal ampun mbak bayar bapak teman asn kena phk,-6,Negatif
moga baik sulit mudah pribadi mahasiswa demo adab,1,Positif
amin,0,Netral
sdm rendah coba tan gampang butuh,-2,Negatif
untung loh krisis beras negeri krisis pangan lihat berita ya,-1,Negatif
food estate jalan program negeri expor beras negeri krisis pangan ya jabat korup,-2,Negatif
food estate jalan loh desa neneku dadahup jalan hancur parah semenjk food estate jalan mulus food estate butuh proses tempat marak ya hama tikus,-2,Negatif
gagal panen terima hasil food estate mudah proses,2,Positif
anggar milyaran jalan bagus food estate gagal garap maksimal tani tau tan omon omon,-2,Negatif
laksana sungguh sungguh anggar milyaran atas,0,Netral
kau buzzer sila cek profil poto asli buzzer paham,-2,Negatif
lihat tag buzzer,0,Netral
maaf abang salah fokus,-1,Negatif
alau gagal salah tan,-2,Negatif
diluarmalah export negeri omon omon,-2,Negatif
tani sesuai profesi anggar sesuai,3,Positif
dia gagal salah tani bro,-3,Negatif
buzzer bukti duit wkwkwk,-1,Negatif
model profil kayak terna buzzer cok,-1,Negatif
gagal lihat tempat gagal putus gagal kakong tani tahun aman kemarin pupuk subsidi murah banding sayang patok harga murah tani padhal pas jual supplier harga mahal oknum nakal hubung perintah,1,Positif
krisis pangan lu makan nasi,0,Netral
coba urus buset,0,Netral
anis omon,-1,Negatif
omon tindak anda baca kagak,-3,Negatif
ibu malu,0,Netral
main fb dah kapai main tiktok,-1,Negatif
sssttt rumah pakai diskon listrik,2,Positif
langsung hidup bapak,1,Positif
omon omon kali,-2,Negatif
ya biar lgian menang bp nikmat token diskon,3,Positif
pilih bos rakyat pikir obyektif pilih presiden bang bangsa,0,Netral
bpk pilih prabowo menang bpk pilih,-2,Negatif
iya gua beban,-2,Negatif
kasihan beban,-1,Negatif
pilih prabowo presiden,0,Netral
menang,0,Netral
yauda,-1,Negatif
gangaruh miss biar pilih,-2,Negatif
yang beban,-2,Negatif
hati kaki,0,Netral
aduh sulit sakit hati,-1,Negatif
biar tim sakit hati,-2,Negatif
hahaha iya terima,1,Positif
kim surviving,0,Netral
tim plinplan atur eeh besok dibatalin,-1,Negatif
sakit hati lo lihat kepala negara lo anti kritik did lu read the demand btw orang lu just guess reading is apparently too much ask from yall,-2,Negatif
tanggapin salah tanggapin salah mau apasih lc,-3,Negatif
obat sakit hati jual pasar,-1,Negatif
edehhh junjung nangkepin koruptor,-1,Negatif
omon omon abang photo,-2,Negatif
anti kritik anjing,-3,Negatif
oh lo ngetawain tuntut suara rakyat tuh harga dengar ya he laughs off like si a comedy show,2,Positif
ya tuntut konyol dengar bbm gratis internet gratis ganjar n anies,2,Positif
sakit hati jiwa kena,-2,Negatif
biar sulit,0,Netral
iya kak susah omong,-2,Negatif
lansia presiden muda bu,0,Netral
serba salah banget ya prabowo,1,Positif
ditanggepin kata urus ditanggepin kata sensi serba salah wes,-4,Negatif
apa kau diriu introspeksi mbak,-1,Negatif
gua pilih suka,-2,Negatif
ya orang menang,1,Positif
curang menang,-1,Negatif
ya bilang curang situ fakta tps menang,-1,Negatif
irma tau irma,-1,Negatif
milu paslon pilih menang bilang curang,-2,Negatif
irma irma gue akak baca komentar irmaaa,0,Netral
langsung hidup,1,Positif
pilih sih irma menang curang kak jujur suciii suci suci,-2,Negatif
fakta,-1,Negatif
nyata,0,Netral
tanggung jawab ucap nih buk,-2,Negatif
sakit hati kalah tuduh hahaha,-2,Negatif
akww el wetsepewer,-1,Negatif
aku,0,Netral
astrid astrid gue kasihan lo astridddd,0,Netral
kasihan luuuu terima kalah menang bilang curang bukti curang mana kasihan irmaaaa irmaaa,-3,Negatif
irma mending minum obat gih,-2,Negatif
dewa mulyono cawe bansos,0,Netral
mending sakit hati sakit jiwa,-2,Negatif
sudah,0,Netral
akun kayak asli orang akun,0,Netral
bujer bang,0,Netral
buzer bayar buzer hasil lanjut,1,Positif
rakyat kayak gelap,-2,Negatif
anak anak ente komentar,-2,Negatif
wkwkwk sumbangsi beliau negara samp sumbangsi mu negara beban,0,Netral
anis baswedan bos gelap terang,0,Netral
beda jaman abang,-2,Negatif
ekonomi lancar beliau gubernur macan lansia,0,Netral
drpda angin ktp,0,Netral
ya angin susah rakyat ya,1,Positif
susah bilang wkwkwkwk komentar terngakak,-1,Negatif
coba lo narasi mana angin susah rakyat ya susah gas didik susul danantara,-3,Negatif
gas didik baca berita woi kip beasiswa jalan susah hidup sih instan gratis ya dunia,-1,Negatif
pakai lampu biar gelap,0,Netral
moga gelap gua sih terang,-1,Negatif
kain merah mafia gelap,-2,Negatif
korupsi ditangkep bang,-1,Negatif
warna orang buta arti suara orang tuli,-1,Negatif
koruptor tangkepin hutang nelayan bayarin mbak contoh ya benar,0,Netral
coba persiden bang omong doang,-1,Negatif
balas komentar merah balas orang mengapa tidak balas,-1,Negatif
tau salah modal buzzer,-3,Negatif
pimpin jabat tahun kerja,0,Netral
bawa lanjut bang ubah,0,Netral
blio jalan lanjut ubah wkwkwkwk,0,Netral
prabowo ngelanjutin,0,Netral
jokowi,0,Netral
mak kau terima diskon pln,2,Positif
prabowo tongkat ajaib ya sabar jabat,1,Positif
agung kocak,-1,Negatif
asih phk presiden kah owner usah,-1,Negatif
ya putus usaha kait phk sok pengaruh bijak perintah usaha phk,0,Netral
hubung loio,0,Netral
kami bidang anda kelola rumah anak -anak anda kurang kepala negara negara pas kritik koridor,-3,Negatif
pelan hina n maki wajib dtangkap kepala negara soalny,-3,Negatif
akan presiden jabat ejek rakyat tertawa indonesia gelap,-1,Negatif
efek out sourching ya usaha bongkar pasang karyawan mak banteng tuh pihak usaha lindung karyawan,3,Positif
komentar anda laku,-1,Negatif
parah banget ya presiden kecil orang,1,Positif
indonesia gelap,-1,Negatif
buset kelas presiden ngeremehin aspirasi rakyat ya,1,Positif
lndonesia gelap presiden berantas korupsi omon omon,-3,Negatif
ganti orang,0,Netral
omong indonesia bubar,-1,Negatif
ya tuhan pimpin cinta negara,2,Positif
lihat guys dianggep becandaan orang orang perintah,2,Positif
aspirasi rakyat canda jabat,-2,Negatif
nyala bpk presiden,1,Positif
omon omon lets sih depan,-2,Negatif
bangun rumah tangga gagal bangun negara ya gelap,0,Netral
ganti rakyat,0,Netral
sehat sellu presiden ku,1,Positif
rakyat indonesia gelap,-1,Negatif
gelap pertalite sulap pertamax,-1,Negatif
pertamax oplos gelap,-1,Negatif
ditangkep biar gelap semenjak prabowo presiden bongkar hati gelap,-2,Negatif
kayak jilat anggap indonesia terang benderang,-3,Negatif
ya ampun model bagus,2,Positif
maksud indonesia gelap gua rakyat anggur korupsi atas,-5,Negatif
bilang indonesia bubar ya,1,Positif
hayo mahasiswa tantang,0,Netral
mending mahasiswa indonesia gelap indonesia bubar,-1,Negatif
sesal banget pilih orang,0,Netral
bicara anis,0,Netral
prediksi menghayal,0,Netral
kagak presiden omong anak sd prediksi omong prediksi ubah nyata signifikan lanjut,-3,Negatif
pidato,0,Netral
belakang omong berani temuin demo cari solusi hendak rakyat,-2,Negatif
demo sewa gerak partai megalodon kemarin ketangkep orang ribu nasi bungkus vt kemarin,0,Netral
temu uang sulit pak,1,Positif
admin gerindra mode hilang lane,0,Netral
kak tolong bahas danantara biar masyarakat tau please,-1,Negatif
semua komentar -benar gila,-1,Negatif
udang kampus curhat,0,Netral
media bungkammmm lihat tiktok tau gue,0,Netral
demo masuk tv wowo wiwi takuttttt,-2,Negatif
tv media milik berita,0,Netral
iq demo harness,-1,Negatif
sehat sehat mahasiswa waras,0,Netral
presiden demo sistem perintah temu solusi n mampu urus negara luas,2,Positif
mahsswa cuman erti sisa fomo,-1,Negatif
presiden ya demo,1,Positif
gampang atur manusia lapar atur manusia pintar,1,Positif
ada kali aksi berita tv,0,Netral
baca komen benar wujud indonesiagelap,1,Positif
lucu jenderal setir,1,Positif
demo demo,-2,Negatif
asli fomo,1,Positif
buzzer perintah banget ya kaget baca komen,1,Positif
ngeri komentar buzzer ya,-1,Negatif
kaget buzzernya wowow bayak banget,1,Positif
jir komen ya dukung ok gas,1,Positif
orang netral benci mahasiswa,0,Netral
banget komentar buzzerp ternak mulyono wowo,1,Positif
fomo anjir demo kip beli ip wkwk,-1,Negatif
baca tertawa percaya degan perintah percaya bpk prabowo,3,Positif
ganti orang pimpin,0,Netral
pandang gue sbnernya prabowo salah proses pelan nyeleweng struktur kompak instan step by step,2,Positif
keren mahasiswa indonesia harap terahir rakyat indonesia juang moga lindung tuhan,3,Positif
cari presiden bahasa ya,0,Netral
eh sumpah tau tiktok demo tv siar kah,-2,Negatif
demo mending cari info magang info loker biar lulus arah tuju,-3,Negatif
gue kemarin baca artikel inflasi indonesia desember februari tingkat inflasi turun angka salah,-1,Negatif
omong indonesia gelap coba baca pelan tuju perintah,-2,Negatif
jujur presiden renti brenti nih kakak kakak demo,-1,Negatif
gelap,-1,Negatif
garis prabowo gibran,-1,Negatif
indonesia maju,0,Netral
mahasewa liquid to nasi box,0,Netral
briefingnya,0,Netral
yaelah nasi box hasil dana orang orang donasi kali,3,Positif
iya jir warga asih makan mahasiswa bilang cair nih,-2,Negatif
barengwarga open donasi ig twitt,-1,Negatif
saudara laki -laki,0,Netral
tambah demo erti isi demoin sih demoin prabs peduli rakyat demo uu ampas aset what a funny,-2,Negatif
benci ampas aset setting dungu ya tuntut uu ampas aset,-3,Negatif
demo cuman sih mulyono as always dint hear that they choose be dungu then,-2,Negatif
uu ampas aset alah wkwkk,-2,Negatif
nih bukti gue bukti kemarin asih uang mahasiswa tonton ribu orang,-3,Negatif
nih kak bukti skil nih,-1,Negatif
ha bukti,-1,Negatif
mahasiswa naskot mahasiswa duit mahasiswa nge demo sewa,-1,Negatif
warga jalan ngejajain makan gratis akun buka donasi h bawa nasi kotak nyediain layan sehat,1,Positif
bukti livestream mbak there is a lot of evidence coba manipulasi lapang orang orang pasti brief,0,Netral
kemarin malam warga bentrok mahasiswa dukung mahasiswa beda demo gue foto vidionya mahasiswa duit demo naskot,-3,Negatif
percaya bukti bukti kenyat teman turun lapang,0,Netral
livestream oh livestream mahasiswa bentrok rakyat ya livestream mahasiswa kasih duit ya nih bukti kasih duit mata ribu orang malu ngapa,-1,Negatif
tau nyata mah ytta ya yaudah semangat ngibulinnya deh lihat balik layar doang wkwkw,0,Netral
kecewa,0,Netral
ya demo,0,Netral
guna efisiensi anggar membenerin fasilitas didik,2,Positif
kak didik prioritas dukung prioritas utama wkwkwk,2,Positif
astaga baca deh update baru anggar didik anggar ya efisiensi jalan beli baju perintah efisiensi,4,Positif
efisiensi anggar dana danantara kak,2,Positif
guna hambur duit danantara investasi nih baca nih indonesia masa gelap indonesia bangkit astaga,-1,Negatif
indonesia bangkit sih kacau bilang indonesia bangkit,0,Netral
efisiensi didik upgrade fasilitas didik logika dana upgradenyaa ramping kabinet noh menteri stafsus ramping dana didik,1,Positif
literasinya abang dpet info media telen mentah man bersih media wkwk,-2,Negatif
abang nyata ya efek efisiensi anggar pusta tutup perpusda batas jam kerja ya ldbi tiada,3,Positif
astaga efek kesitu coba efisiensi hubung kesitu pustaka ya,3,Positif
baca,0,Netral
bilang presiden efisiensi mbak danantara pres bilang bangun fasilitas didik mah kapai efisiensi tinggal anggar kmmentrian didik,2,Positif
update baru protes,-1,Negatif
buzzer apd,-1,Negatif
abang abang erti paham maksud dijelasin lebar masuk,-1,Negatif
kasih bukti paham,-1,Negatif
iya masuk otak dilakuin ekonomi indonesia baik didik gratis ekonomi aur an negara kayak cina bangun didik kali ya,-1,Negatif
kau anggar gampang rupiah boros uang efisiensi kapai hambur uang,-1,Negatif
yaudah simplenya ya efisiensi biar anggar kmentrian pe dik segitu tindak bijak pakai anggar bangun fasilitas didik kapai efisiensi,2,Positif
astaga astaga blablabla,0,Netral
capek indonesia,0,Netral
atmin kecewa,0,Netral
semua miminnyq kak,-1,Negatif
ya mahal bro duid jajan batas bulan gawe samping mahasewa,-2,Negatif
bro uang ukt nyesuain hasil uktnya digit hasil,2,Positif
ya mikirnya rasai kuliah ukt segitu rasai ya implementasi ya demo doang mending minta kasih lebih finansial empati negara ekonomi pas an butuh duit melek indonesia dampak ya butuh duit,2,Positif
ewh pikir rendah kayak perintah,-2,Negatif
halah lo orang bayar perak orang -orang,-1,Negatif
maaf ya anak kuliah usaha barbershop sewa demo ya bagus bukti peduli nasib negara bangsa,-1,Negatif
hasil juta bpk ya juta hasil anak juta uang jajan kuliah juta bapak juta uang pasu barber keluarga keluarga mental sewa mental bansos kayak ya,7,Positif
anda bayar perak,-1,Negatif
duid jajan ukt jakarta fyi,0,Netral
nasib disamain orang abang noh teman gue turun jalan uktnya digit uang bulan digit habis tinggal,-1,Negatif
lo kali,0,Netral
contoh orang kuliah yagesya,0,Netral
prtanyaanny sewa,0,Netral
anda tahu anda sewa perintah buzzer wkwkwkwk,-3,Negatif
baik mahasewa mahabuzzer,-1,Negatif
orang kayak nih alergi ajak maju,-1,Negatif
kuliah,0,Netral
ya komen perak,1,Positif
ya golong mental ya ngarepnya makan gratis bansos rutin yauda yaudah syukur teriak takut takut,2,Positif
nasib anak kuliah komenmu gambar kasihan,-1,Negatif
iya ih malu banget lihat tiktok,2,Positif
malu komen malu tiktok,0,Netral
haa warga tiktok cuk kena komentar atas,-2,Negatif
mah main dua cuk gue main dua anjir main dua ya tau cuk sdm,0,Netral
tinggal uninstall berrs,0,Netral
sdm kocak,-1,Negatif
malu twitter kandang,0,Netral
contoh,0,Netral
warga tiktok cuk,0,Netral
malu coba main twitter ssma kapal buzer -baik,-1,Negatif
malu diri buka komentar bidik,-2,Negatif
